group,names,scores,logfoldchanges,pvals,pvals_adj
0,RPS12,32.454998,1.0580324,4.6050321679142554e-231,6.315341115077609e-227
0,LDHB,32.20149,2.7248948,1.6823161319772094e-227,1.1535641716967725e-223
0,RPS25,30.52613,1.1803728,1.1730361529178025e-204,3.217403560222949e-201
0,RPS27,29.444181,1.025623,1.494500576632668e-190,2.927940129705773e-187
0,RPS3,29.327387,0.88644356,4.642659350603958e-189,7.074381148242519e-186
0,RPS6,29.312864,0.8763133,7.110527461228598e-189,9.7513773603289e-186
0,CD3D,28.381151,3.275449,3.4553274478898345e-177,4.307850965487381e-174
0,RPS14,28.344421,0.7860085,9.805742804130022e-177,1.1206329734653261e-173
0,RPL31,27.811596,1.1395988,3.1408661870184347e-170,2.871589259251388e-167
0,RPL3,27.593145,0.8687731,1.3447647917988446e-167,1.1526315221705846e-164
0,TPT1,27.588545,0.93831044,1.5270337328965228e-167,1.231867094878995e-164
0,RPL30,27.39397,1.0258646,3.2357684635273543e-165,2.4652960393785627e-162
0,RPS27A,27.297842,1.3264425,4.49939287303762e-164,3.2476144137283118e-161
0,RPS15A,27.017857,0.9594989,9.117913897600807e-161,6.252153559584874e-158
0,RPL32,26.87978,0.7397713,3.7855833772151274e-159,2.4721662111965837e-156
0,RPL9,26.828503,1.1185765,1.503114879524937e-158,9.369871571729538e-156
0,RPLP2,26.769077,0.85511816,7.405972098060155e-158,4.415891363165085e-155
0,EEF1A1,26.548286,0.7478346,2.6879003596721698e-155,1.5359110638560058e-152
0,RPS18,26.317242,0.76410306,1.2176141345388973e-152,6.679344096426575e-150
0,RPS29,26.044222,1.3391361,1.5641886823852704e-149,8.250493688550615e-147
0,RPL13,25.572493,0.7187971,3.087112333363589e-144,1.5120235192767233e-141
0,RPL27A,25.560438,0.8246737,4.2034438431797267e-144,1.9877940988057508e-141
0,RPL23A,24.984919,0.8870036,8.91739362419939e-138,4.0764378720756815e-135
0,RPS3A,24.980087,1.1262628,1.0063517257453931e-137,4.45197018286204e-135
0,RPL13A,24.963276,0.69131655,1.5323047705548695e-137,6.566883632309212e-135
0,RPL21,24.950657,0.8985116,2.1006357267953967e-137,8.729732835536991e-135
0,LTB,24.38984,2.504463,2.192142687106451e-131,8.125147246210235e-129
0,CD3E,24.339384,2.723806,7.510232160505913e-131,2.710403259188897e-128
0,RPSA,24.03786,1.162967,1.1182766785051249e-127,3.932319581799816e-125
0,RPS4X,23.883102,0.69232035,4.589317269188196e-126,1.573447425741173e-123
0,RPL35A,23.77358,0.8064767,6.267842722211246e-125,2.0965169534732932e-122
0,RPS13,23.704773,0.97289145,3.2193012927638142e-124,1.0511785221181654e-121
0,RPS20,23.699787,1.0896432,3.6239451617647644e-124,1.155785673219581e-121
0,RPL11,23.444735,0.59119755,1.4959303022583492e-121,4.662542764811591e-119
0,RPS28,23.373898,0.8663962,7.877646639852546e-121,2.4007565781986185e-118
0,IL32,22.489992,2.6056516,5.200920225893349e-112,1.4819924425093436e-109
0,RPLP0,22.489195,1.0448685,5.295145813253452e-112,1.4819924425093436e-109
0,RPL14,22.240826,0.7040763,1.3838674799705275e-109,3.7956717240631633e-107
0,IL7R,22.230827,2.8748093,1.729193920746908e-109,4.649836358651587e-107
0,RPL36,22.019367,0.94270176,1.878683863167144e-107,4.954667403745041e-105
0,RPL10,21.976854,0.47761703,4.795613884744586e-107,1.2408877134978728e-104
0,RPL5,21.936474,0.86648035,1.1659663722742748e-106,2.961122746179519e-104
0,RPS10,21.738304,0.8219339,8.913299262000365e-105,2.2224906559831456e-102
0,RPS23,21.492683,0.83812433,1.822638221581218e-102,4.4635108162080037e-100
0,RPS16,20.984995,0.6962959,8.993107865876267e-98,2.126404849528054e-95
0,NPM1,20.882954,1.2837954,7.651176890035554e-97,1.7201350798352064e-94
0,JUNB,20.77004,1.1548966,8.079034565086503e-96,1.7586647623110524e-93
0,MALAT1,20.550226,0.8258281,7.660398353615008e-94,1.6162262003304035e-91
