group,names,scores,logfoldchanges,pvals,pvals_adj
0,RPS12,32.454998,1.0580324,4.6050321679142554e-231,6.315341115077609e-227
0,LDHB,32.20149,2.7248948,1.6823161319772094e-227,1.1535641716967725e-223
0,RPS25,30.52613,1.1803728,1.1730361529178025e-204,3.217403560222949e-201
0,RPS27,29.444181,1.025623,1.494500576632668e-190,2.927940129705773e-187
0,RPS3,29.327387,0.88644356,4.642659350603958e-189,7.074381148242519e-186
0,RPS6,29.312864,0.8763133,7.110527461228598e-189,9.7513773603289e-186
0,CD3D,28.381151,3.275449,3.4553274478898345e-177,4.307850965487381e-174
0,RPS14,28.344421,0.7860085,9.805742804130022e-177,1.1206329734653261e-173
0,RPL31,27.811596,1.1395988,3.1408661870184347e-170,2.871589259251388e-167
0,RPL3,27.593145,0.8687731,1.3447647917988446e-167,1.1526315221705846e-164
0,TPT1,27.588545,0.93831044,1.5270337328965228e-167,1.231867094878995e-164
0,RPL30,27.39397,1.0258646,3.2357684635273543e-165,2.4652960393785627e-162
0,RPS27A,27.297842,1.3264425,4.49939287303762e-164,3.2476144137283118e-161
0,RPS15A,27.017857,0.9594989,9.117913897600807e-161,6.252153559584874e-158
0,RPL32,26.87978,0.7397713,3.7855833772151274e-159,2.4721662111965837e-156
0,RPL9,26.828503,1.1185765,1.503114879524937e-158,9.369871571729538e-156
0,RPLP2,26.769077,0.85511816,7.405972098060155e-158,4.415891363165085e-155
0,EEF1A1,26.548286,0.7478346,2.6879003596721698e-155,1.5359110638560058e-152
0,RPS18,26.317242,0.76410306,1.2176141345388973e-152,6.679344096426575e-150
0,RPS29,26.044222,1.3391361,1.5641886823852704e-149,8.250493688550615e-147
1,CD74,28.874624,4.0795345,2.4871450354007886e-183,3.4108707015486415e-179
1,CD79A,27.834063,7.749746,1.6797304742485914e-170,1.1517911861922591e-166
1,HLA-DRA,27.53371,4.8870344,6.93511118202102e-167,3.170270491674542e-163
1,CD79B,26.463242,5.5180044,2.5691351201918606e-154,8.808279759577793e-151
1,HLA-DPB1,25.923988,4.0658145,3.5736590771892574e-148,9.801832116914695e-145
1,MS4A1,25.273188,6.434406,6.299036341936536e-141,1.4397497398886276e-137
1,HLA-DQA1,25.263664,5.3614807,8.015931775242311e-141,1.5704355480810436e-137
1,CD37,24.385695,2.5037396,2.425691317137249e-131,4.1582413404025287e-128
1,HLA-DRB1,24.356514,3.9003642,4.945621063612681e-131,7.5360274740427e-128
1,HLA-DQB1,24.30615,4.9834814,1.6877361212603341e-130,2.3145613166964223e-127
1,HLA-DPA1,23.715618,3.6985204,2.4882224324464407e-124,3.102134767142772e-121
1,HLA-DRB5,19.837755,3.2916484,1.4060033132517945e-87,1.377280674138222e-84
1,TCL1A,18.304682,6.9127364,7.593477324714468e-75,6.508559251945888e-72
1,RPL18A,17.357416,0.72955716,1.733518607061192e-67,1.3984396574845404e-64
1,LINC00926,16.704102,7.3511324,1.223564521749082e-62,8.831559921719427e-60
1,HLA-DMA,16.568403,3.1129088,1.1791663206587082e-61,7.700517581673106e-59
1,RPS23,15.119065,0.79569244,1.212509426153028e-51,6.158649729726898e-49
1,RPS11,15.013387,0.9083667,6.000443353463783e-51,2.938931433907225e-48
1,RPS5,14.757036,0.7859174,2.7719781133608786e-49,1.267163594887703e-46
1,VPREB3,14.55383,7.412925,5.522252008318507e-48,2.3666301263150002e-45
2,FTL,37.83586,3.807733,0.0,0.0
2,FTH1,37.402225,3.2226377,3.594997314168718e-306,2.4650896583254896e-302
2,TYROBP,37.03042,6.17206,3.7111068733631914e-300,1.6964706553767603e-296
2,CST3,36.571,6.5163407,8.270546545008749e-293,2.8355568829562493e-289
2,LYZ,36.4413,5.867567,9.44881946171032e-291,2.5916222019579066e-287
2,AIF1,35.977154,5.8016706,1.9048405439393947e-283,4.3538305365974766e-280
2,LST1,35.949425,5.9291015,5.167443121931259e-283,1.012375928202361e-279
